Video Title,Description,Image URL,CTA Text,Category,Link
"Hairmax PowerFlex 272 Laser Cap - FDA Cleared Thinning Hair Loss Solution for Men & Women","This laser cap uses FDA-cleared red light therapy to stimulate hair growth. It's comfortable, cordless, and easy to use with a 7-minute treatment time.",https://m.media-amazon.com/images/I/41wCx1fhbQL._SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/48siT70
"Garmin Instinct Solar Rugged Outdoor Watch with GPS, Graphite","A rugged smartwatch with solar charging, perfect for outdoor activities. Features built-in sports apps and health monitoring.",https://m.media-amazon.com/images/I/519pESH--lL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4pNRZO8
"Hyperice Hypervolt 2 Pro Percussion Massage Gun","A powerful massage gun with quiet operation and multiple speeds. Ideal for relieving muscle soreness and stiffness.",https://m.media-amazon.com/images/I/61jirA2o7nL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/49SByeE
"TheraGun Prime Massage Gun by Therabody","Powerful deep tissue massage gun for reliable recovery and pain relief.",https://m.media-amazon.com/images/I/71d+MDU8ylL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/4rxA6EL
"Ekrin Athletics B37v2 Massage Gun","High-powered massage gun with brushless motor, 5 speeds, and 4 attachments for deep tissue relief.",https://m.media-amazon.com/images/I/61h+YqgodkL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/3M60RjA
"Compex Sport Elite 3.0 Muscle Stimulator","Advanced muscle stimulator with multiple programs for performance enhancement and recovery.",https://m.media-amazon.com/images/I/714B214bb6L._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/4rxAfbh
"OMRON Max Power Relief TENS Unit","Effective TENS unit for pain relief in various body parts.",https://m.media-amazon.com/images/I/611Bb4mY5VL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/4rzOA6W
"Omron Focus TENS Therapy for Knee Unit","Wireless TENS unit specifically designed for knee pain relief.",https://m.media-amazon.com/images/I/61BP5EajOkL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/3MzUIfu
"iReliev TENS + EMS Muscle Stimulator","Versatile TENS and EMS unit with 14 modes for pain relief and muscle recovery.",https://m.media-amazon.com/images/I/61VezFVfkqL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/48zTpEN
"AUVON Rechargeable TENS Unit","Affordable TENS unit with 24 modes and premium electrode pads.",https://m.media-amazon.com/images/I/71Vh6zkeETL._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/4iyKSXn
"BOB AND BRAD C2 Massage Gun","Powerful massage gun with 5 speeds and interchangeable heads, FSA/HSA approved.",https://m.media-amazon.com/images/I/711wc7K7QML._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/3KsRzNS
"Pure Enrichment PureRelief XL Heating Pad","Large heating pad with 6 heat settings and moist heat option for pain relief.",https://m.media-amazon.com/images/I/918L2JjRA5L._AC_SY300_SX300_QL70_FMwebp_.jpg,"Shop Now","Fitness & health tools",https://amzn.to/4pIhPD1
"Ninja DZ201 Foodi 8 Quart 6-in-1 DualZone 2-Basket Air Fryer","Versatile 6-in-1 air fryer with dual baskets for cooking multiple items simultaneously. Features Match Cook technology for perfect results.",https://m.media-amazon.com/images/I/511+uXaPLlL._AC_SL1001_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/48xpLjs
"DREAME X40 Ultra Robotic Vacuum with Removable & Liftable Mop","Advanced robotic vacuum with powerful suction, self-emptying, and mopping capabilities. Features auto-refill and self-cleaning.",https://m.media-amazon.com/images/I/715PiEJ-NGL._AC_SL1500_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/3MaGUbn
"Mini Portable Charger for iPhone,Upgraded 5000mAh PD Fast Charging Battery Pack,LCD Display Cute Power Bank Portable Phone Charger for iPhone 14/14 Pro Max/13/13 Pro/12 Pro/11/XS/XR/X/8/7/6-Black","Compact power bank with fast charging and LCD display for iPhone compatibility.",https://m.media-amazon.com/images/I/61vSdGQE9iL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/445upE9
"JLab Go Air Pop+ True Wireless Earbuds, in Ear Headphones, Bluetooth Earphones, 35H Playtime Ear Buds, Bluetooth Earbuds with Microphone, USB-C Charging Case, Dual Connect, EQ3 Sound, Rose","Affordable true wireless earbuds with long battery life and EQ3 sound customization.",https://m.media-amazon.com/images/I/71QuwOIaNAL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4rzapnb
"Amazon eGift Card - Seasonal - (Instant Email or Text Delivery)","Instant delivery Amazon gift card for shopping on the platform.",https://m.media-amazon.com/images/I/61BQ1p4gFNL._SL1500_.jpg,"Shop Now","Gift cards",https://amzn.to/3XwdUNK
"Squishmallows Original Bluey 10-Inch Bandit HugMees - Medium-Sized Ultrasoft Official Jazwares Plush","Soft and cuddly plush toy from the Bluey series, perfect for kids.",https://m.media-amazon.com/images/I/71oKg-HlWhL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/48ttSNw
"MACKENZIE-CHILDS Enamel Tea Kettle, Stylish Tea Kettle for Stovetop, Black-and-White Courtly Check, 2 Quarts","Stylish enamel tea kettle with classic check pattern for stovetop use.",https://m.media-amazon.com/images/I/71aukFrhT5L._AC_SL1500_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/48xrB3Q
"Toniebox 1 Audio Player Starter Set with Playtime Puppy - Listen, Learn, and Play with One Huggable Little Box - Green","Interactive audio player for kids with stories and music, comes with a plush character.",https://m.media-amazon.com/images/I/81cSkQZkQQL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/49P2ZWH
"SteelSeries Arctis Nova 1 Multi-System Gaming Headset — Hi-Fi Drivers — 360° Spatial Audio — Comfort Design — Durable — Ultra Lightweight — Noise-Cancelling Mic — PC, PS5/PS4, Switch, Xbox - Black","Multi-platform gaming headset with spatial audio and noise-cancelling mic.",https://m.media-amazon.com/images/I/71pY4rbIg0L._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4pOXNHa
"Beats Solo 4 - Wireless On-Ear Bluetooth Headphones, Up to 50-Hour Battery Life, Ultra-Lightweight Comfort, Powerful and Balanced Sound, Apple & Android Compatible - Amazon Exclusive Metallic Pink","Wireless on-ear headphones with long battery life and balanced sound.",https://m.media-amazon.com/images/I/51kJvfwJSWL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Mls7KN
"Sony WH-1000XM6 The Best Noise Canceling Wireless Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery, Black","Premium noise-cancelling headphones with advanced processors and long battery life.",https://m.media-amazon.com/images/I/61nGlYFDZNL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Xwe5bS
"Spin Master Games, Tetris: The Board Game, Play The Classic Puzzle Game Tetris in Real Life, Multiplayer Head-to-Head Puzzle Challenge, 2-4 Players, Stocking Stuffer Gift Ideas for Ages 8 & Up","Physical board game version of the classic Tetris puzzle game for multiplayer fun.",https://m.media-amazon.com/images/I/810fUgglvzL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/3KBhNOo
"Burt's Bees Christmas Gifts - Face Mask Bundle Set, Hydrating Watermelon, Calming Rose, & Refreshing Cucumber, Face Sheet Masks for Single Use Skin Care, 99% Natural Origin, 3 Count, 0.33oz Each","Natural face mask bundle with hydrating and calming options.",https://m.media-amazon.com/images/I/81e4RHMgi+L._SL1500_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/4pfNOuk
"The Mysteries of the Universe: Discover the best-kept secrets of space (DK Children's Anthologies)","Children's book exploring the secrets of the universe with engaging illustrations.",https://m.media-amazon.com/images/I/91cEqxAsRnL._SL1500_.jpg,"Shop Now","Books",https://amzn.to/3Xzj1wv
"Bose New QuietComfort Ultra Earbuds (2nd Gen) - Wireless Noise Cancelling Earbuds with Mic, Immersive Audio, USB-C Charging, Up to 6 Hours Battery, IPX4 Rating, Black","Wireless noise-cancelling earbuds with immersive audio and water resistance.",https://m.media-amazon.com/images/I/513LCPDEWKL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3XA6wki
"Dr.Althea 345 Relief Cream | Moisturizer for Soothing Recovery and Blemish Care with PDRN & Niacinamide | Korean Vegan Skin Care for All Skin Types, 1.69 Fl Oz (Ver.2 - Pack of 1)","Korean skincare cream with PDRN and niacinamide for soothing and blemish care.",https://m.media-amazon.com/images/I/518gliDrI7L._SL1080_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/4ouq6ta
"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - For PC, PS4, PS5, Switch - 3.5mm Audio Jack - Black","Affordable gaming headset with 7.1 surround sound and comfortable memory foam.",https://m.media-amazon.com/images/I/51FRJHB7XOL._AC_SL1001_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/48j7Pug
"Yankee Candle Balsam & Cedar, Holiday Scented Candle, 22oz Large Jar with up to 150 Hour Burn Time, Giftable","Large holiday-scented candle with long burn time, perfect for gifting.",https://m.media-amazon.com/images/I/71Z42Yzlc5L._AC_SL1500_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/4os1Jwp
"Meta Quest 3S 128GB | VR Headset — Thirty-Three Percent More Memory — 2X Graphical Processing Power — Virtual Reality Without Wires — Exclusive Gorilla Tag Bundle and Instant Access to 40+ Games","Advanced VR headset with improved memory and graphics, wireless and bundle included.",https://m.media-amazon.com/images/I/61Y1ovY0vVL._SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4pJ5luP
"Meta Quest 3 512GB | VR Headset — Thirty Percent Sharper Resolution — 2X Graphical Processing Power — Virtual Reality Without Wires — Access to 40+ Games with a 3-Month Trial of Meta Horizon+ Included","High-end VR headset with sharper resolution and extensive game access.",https://m.media-amazon.com/images/I/51dGbP0XTnL._SL1100_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4pgDxhK
"Yankee Candle Spiced Pumpkin, Thanksgiving Scented Candle, 22oz Large Jar with up to 150 Hour Burn Time, Giftable","Thanksgiving-themed candle with spiced pumpkin scent and long burn time.",https://m.media-amazon.com/images/I/71fOZVsj4XL._AC_SL1500_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/4arLz2w
"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Daybreak","Insulated water bottle with straw for easy drinking, great for travel.",https://m.media-amazon.com/images/I/51SbWPkLSRL._AC_SL1500_.jpg,"Shop Now","Home & kitchen gadgets",https://amzn.to/4arLvQk
"Kerastase Nutritive 8H Magic Night Serum - Overnight Treatment for Dry Hair, Enhances Shine, With Plant-Based Proteins","Overnight hair serum with plant-based proteins for nourishment and shine.",https://m.media-amazon.com/images/I/61TNX4m8WyL._SL1500_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/4iJDFnl
"Anker Prime Power Bank, 26,250mAh 3-Port Portable Charger with 300W Max Output, Two-Way Charging, TSA-Approved, App Control, for MacBook, iPhone 17/16 Series, and More (Base Not Included)","High-capacity power bank with fast charging and app control.",https://m.media-amazon.com/images/I/71bHgoLEylL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/48gBvrV
"e.l.f. Glow Reviver Melting Lip Balm, Hydrating Tinted Lip Balm For A Glossy Finish & Soft, Supple Lips, Vegan & Cruelty-Free, Cotton Candy Crush","Vegan tinted lip balm with hydrating formula for glossy lips.",https://m.media-amazon.com/images/I/5158ImJx-cL._SL1500_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/4izWWYb
"Spin Master Games, Tetris: The Board Game, Play The Classic Puzzle Game Tetris in Real Life, Multiplayer Head-to-Head Puzzle Challenge, 2-4 Players, Stocking Stuffer Gift Ideas for Ages 8 & Up","Board game adaptation of Tetris for multiplayer fun.",https://m.media-amazon.com/images/I/810fUgglvzL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4izILTb
"Bose New QuietComfort Ultra Earbuds (2nd Gen) - Wireless Noise Cancelling Earbuds with Mic, Immersive Audio, USB-C Charging, Up to 6 Hours Battery, IPX4 Rating, Black","Second-gen noise-cancelling earbuds with immersive audio.",https://m.media-amazon.com/images/I/513LCPDEWKL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/48xs5qG
"Estée Lauder Fragrance Treasures Travel Size Perfume Gift Set | Includes Beautiful Magnolia, Bronze Goddess, Beautiful & Pleasures | Perfumes for Women","Travel-sized perfume set from Estée Lauder with popular scents.",https://m.media-amazon.com/images/I/51xuR3N-wFL._SL1000_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/48xsb1w
"Pokémon TCG: Mega Evolution—Phantasmal Flames Elite Trainer Box","Elite trainer box for Pokémon Trading Card Game with themed cards.",https://m.media-amazon.com/images/I/810uEzv7stL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4oxSDOD
"Beats Studio Pro - Premium Wireless Over-Ear Headphones- Up to 40-Hour Battery Life, Active Noise Cancelling, USB-C Lossless Audio, Apple & Android Compatible - Amazon Exclusive Sand Gray","Premium over-ear headphones with noise cancelling and long battery life.",https://m.media-amazon.com/images/I/61c8vBJoCmL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Y5oLya
"JrTrack 5 Kids Smart Watch by Cosmo | Best Kid-Safe Phone Watch | Precision Real-Time GPS Tracking | Call, Text, Activity, School Settings | Spotify Music | Parental Controls | SOS & Safety Alerts","Kid-safe smartwatch with GPS tracking and parental controls.",https://m.media-amazon.com/images/I/61KRlQe3CzL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4atD1bt
"Toniebox 2 Audio Player Starter Set for Kids 1+ with Playtime Puppy - Cloud Pink","Audio player for kids with interactive stories and plush character.",https://m.media-amazon.com/images/I/71VMVTWY9aL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/49TDEeg
"Solar Charger Power Bank 20,000mAh Portable Wireless Charger, Fast Charging External Battery Bank with 6 Outputs for Cell Phones,Portable Solar Panel with Dual Flashlight for Camping","Solar-powered charger with multiple outputs and flashlight for outdoor use.",https://m.media-amazon.com/images/I/71kASEhMSRL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Y5oMSK
"Magnetic Portable Charger, 10000mAh Power Bank, 20W Fast Charging for Magsafe Battery Pack, Travel Essential Wireless Charger Compatible with iPhone 17/16/15/14/13/12 Pro/Max/Air/Plus Series, Samsung","Magnetic wireless charger compatible with MagSafe and various devices.",https://m.media-amazon.com/images/I/61HMfdzoBXL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Y5ZDY4
"LEGO Minecraft The TNT Jungle House Kids Toy for Pretend Play - Collectible Minecraft Toy - Building Set for Boys and Girls 8+ - Gift Idea for Birthdays and Video Game Fans - 21275","LEGO building set themed around Minecraft TNT Jungle House.",https://m.media-amazon.com/images/I/81vT4zxUUYL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/48OfIb2
"Tonies Elphaba Audio Toy Figurine from Wicked Part One","Audio figurine of Elphaba from Wicked for storytelling.",https://m.media-amazon.com/images/I/71kpjiyZeDL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4ryxw1h
"GOLREX Noise Cancelling Ear Buds Wireless Earbuds Bluetooth Headphones with 80H Playtime, Dual LED Display, Wireless Charging Case, Over-Ear Hooks Earphones for Sports Running Gym Workout Black","Wireless earbuds with noise cancelling and long battery for workouts.",https://m.media-amazon.com/images/I/71IviTZUf8L._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Y1cKKa
"Wireless Earbuds, Bluetooth 5.4 Ear Buds with Smart Touchscreen Case, ENC Noise Cancelling Headphones with 48H Playtime, Bass Stereo Sound, Compatible with iPhone Air/17/16/15/14/Android, Pad","Affordable wireless earbuds with touchscreen case and noise cancelling.",https://m.media-amazon.com/images/I/615FBxRtrDL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/48lYgcs
"LEGO Minecraft The TNT Jungle House Kids Toy for Pretend Play - Collectible Minecraft Toy - Building Set for Boys and Girls 8+ - Gift Idea for Birthdays and Video Game Fans - 21275","LEGO building set themed around Minecraft TNT Jungle House.",https://m.media-amazon.com/images/I/81vT4zxUUYL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4rEO6ge
"Upgraded Antibacterial Magnetic Tiles - 106 PCS Magnet Building Blocks for Kids, 3D STEM Sensory Toys | Inhibits Bacterial Growth for Safe Play | Educational Construction Set & Xmas Gift","Antibacterial magnetic tiles for STEM learning and safe play.",https://m.media-amazon.com/images/I/91CqC8oJ8yL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/48NZ8In
"Tatcha Dewy Skin & Lips Hydrating Ritual Set, Travel Rice Wash, Full Size Dewy Skin Cream, Wisteria Lip Mask ($119 Value)","Hydrating skincare set with rice wash, cream, and lip mask.",https://m.media-amazon.com/images/I/61OsALSXqGL._SL1290_.jpg,"Shop Now","Beauty & personal care",https://amzn.to/4oyHzAW
"Pokémon Legends: Arceus - US Version","Pokémon RPG game for Nintendo Switch.",https://m.media-amazon.com/images/I/71bhNf8QiOS._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/48Og2Xi
"The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version)","Epic sequel to Breath of the Wild with new mechanics.",https://m.media-amazon.com/images/I/81o5QpJ7aVL._SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4pJhLD1
"Nintendo Switch Sports - Nintendo Switch","Sports simulation game for Nintendo Switch with motion controls.",https://m.media-amazon.com/images/I/71S+8b+fIPL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4rtM02p
"Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™","Versatile hybrid gaming console with colorful Joy-Con.",https://m.media-amazon.com/images/I/71wpE+ZIehL._SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Xxi2gf
"Mario Party Superstars - US Version","Party game with classic Mario Party boards and mini-games.",https://m.media-amazon.com/images/I/91LqNrkm6cL._SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4ovb3iQ
"Sonic Mania + Team Sonic Racing Double Pack - Nintendo Switch","Double pack with Sonic Mania and Team Sonic Racing.",https://m.media-amazon.com/images/I/71mrzIeK5CL._SL1020_.jpg,"Shop Now","Toys & games",https://amzn.to/4pOYIY8
"Sonic X Shadow Generations - Nintendo Switch","Sonic game featuring Shadow with modern and classic gameplay.",https://m.media-amazon.com/images/I/71Cgu-PiP6L._SL1499_.jpg,"Shop Now","Toys & games",https://amzn.to/3Xxi7k3
"Star Wars: Heritage Pack - Nintendo Switch","Star Wars game pack for Nintendo Switch.",https://m.media-amazon.com/images/I/71zo4HRQLyL._SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4pJhMXB
"PlayStation®5 Digital Edition (slim)","Slim digital edition of PS5 without disc drive.",https://m.media-amazon.com/images/I/51fM0CKG+HL._SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/441yPfg
"Nintendo Joy-Con 2 (L)/(R) Light Blue/Light Red","Replacement Joy-Con controllers for Nintendo Switch.",https://m.media-amazon.com/images/I/61ieehjfCaL._SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/4ovmTK0
"Smart Watch for Men Women, 1.85"" HD Fitness Tracker with Bluetooth Calls, 120+ Sport Modes Fitness Watch, Fitness Tracker 24/7 Heart Rate/Sleep Monitor, IP68 Waterproof, Smartwatch for Android/iPhone","Fitness smartwatch with heart rate monitoring and sport modes.",https://m.media-amazon.com/images/I/617yyHEF+AL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/3Y2ai67
"Wireless Mechanical Keyboard,Gasket Mounted with Creamy Sound,Bluetooth/2.4GHz/USB-C,Custom Hot Swappable,RGB Backlit,75% Compact Layout for Gaming/Typing/Win/Mac/PC (Retro Beige,Linear Switch)","Custom mechanical keyboard with gasket mount and RGB lighting.",https://m.media-amazon.com/images/I/61YdGCfiwEL._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/443sShK
"Portable Bluetooth Speaker x Stocking Stuffers, Bluetooth 5.4 Speaker, 30W Dual Speaker, 2.0 Channel, Deep Bass, 30H Playtime, Colorful RGB Lights, IPX7 Waterproof, White Elephant Gifts for Adults","Portable Bluetooth speaker with deep bass and RGB lights.",https://m.media-amazon.com/images/I/81CeFNv8L6L._AC_SL1500_.jpg,"Shop Now","Electronics & Gaming",https://amzn.to/44FAx67
"Tonies The Lorax Audio Toy Figurine from Dr. Seuss","Audio figurine for playing The Lorax story.",https://m.media-amazon.com/images/I/815uCdto1DL._AC_SL1500_.jpg,"Shop Now","Toys & games",https://amzn.to/4aqfyYC
